,Unnamed: 0.1,file,trans,speaker,start,end,duration,dialect,dialect_int,trans_length,trans_int,edu,work,age,edu_int,work_int,age_int
0,33888,coraal/DCA_audio_2018.10.06/DCA_se3_ag4_m_02_1.wav,UH YEARS AGO I USED TO PLAY IT MYSELF YOU KNOW WHAT I MEAN,DCA_se3_ag4_m_02,415.184,417.9584,2.7743999999999573,africa_american,0,58,22 9 28 26 6 2 19 20 28 2 8 16 28 10 28 22 20 6 5 28 21 16 28 17 13 2 26 28 10 21 28 14 26 20 6 13 7 28 26 16 22 28 12 15 16 24 28 24 9 2 21 28 10 28 14 6 2 15,High School,Lower Middle Class,51+,3,0,3
4,50433,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_m_01_2.wav,I MEAN UH GERMAN AND,DCA_se3_ag3_m_01,317.0301,318.3124,1.2823000000000206,africa_american,0,20,10 28 14 6 2 15 28 22 9 28 8 6 19 14 2 15 28 2 15 5,Some College,Upper Middle Class,30 to 50,4,4,2
5,2351,coraal/DCA_audio_2018.10.06/DCA_se3_ag2_f_03_1.wav,EVERYBODY WAS FRIENDS THEN AND HE AND THE GIRL HAD GOTTEN MARRIED,DCA_se3_ag2_f_03,774.7182,777.9447,3.226499999999988,africa_american,0,65,6 23 6 19 26 3 16 5 26 28 24 2 20 28 7 19 10 6 15 5 20 28 21 9 6 15 28 2 15 5 28 9 6 28 2 15 5 28 21 9 6 28 8 10 19 13 28 9 2 5 28 8 16 21 21 6 15 28 14 2 19 19 10 6 5,Some College,Lower Middle Class,20 to 29,4,0,1
9,42459,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_04_1.wav,WE PUT OUR FEETS IN,DCA_se1_ag1_f_04,400.5428,401.7626,1.2198000000000206,africa_american,0,19,24 6 28 17 22 21 28 16 22 19 28 7 6 6 21 20 28 10 15,Student_ms,Lower Working Class,-19,8,1,0
14,12083,coraal/DCA_audio_2018.10.06/DCA_se3_ag3_f_01_1.wav,FAR MORE INTERESTING THAN WORKING IN THE BOARDS AND I CERTAINLY DO NOT MISS THE TRAFFIC,DCA_se3_ag3_f_01,1259.9082,1264.7435,4.835299999999961,africa_american,0,87,7 2 19 28 14 16 19 6 28 10 15 21 6 19 6 20 21 10 15 8 28 21 9 2 15 28 24 16 19 12 10 15 8 28 10 15 28 21 9 6 28 3 16 2 19 5 20 28 2 15 5 28 10 28 4 6 19 21 2 10 15 13 26 28 5 16 28 15 16 21 28 14 10 20 20 28 21 9 6 28 21 19 2 7 7 10 4,High School,Lower Middle Class,30 to 50,3,0,2
15,41578,coraal/DCA_audio_2018.10.06/DCA_se1_ag1_f_05_1.wav,AND I WANTED GO SEE THIS STAGE SHOW BUT I DIDN'T,DCA_se1_ag1_f_05,531.3557,534.6812,3.3255000000000337,africa_american,0,48,2 15 5 28 10 28 24 2 15 21 6 5 28 8 16 28 20 6 6 28 21 9 10 20 28 20 21 2 8 6 28 20 9 16 24 28 3 22 21 28 10 28 5 10 5 15 1 21,Student_ms,Lower Working Class,-19,8,1,0
18,10150,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_f_05_1.wav,AND THEN JAMES BROWN CAME INTO THE SCENE,DCA_se2_ag1_f_05,252.1664,254.4213,2.2548999999999917,africa_american,0,40,2 15 5 28 21 9 6 15 28 11 2 14 6 20 28 3 19 16 24 15 28 4 2 14 6 28 10 15 21 16 28 21 9 6 28 20 4 6 15 6,Student_ms,Upper Working Class,-19,8,5,0
20,47473,coraal/DCA_audio_2018.10.06/DCA_se1_ag2_f_01_1.wav,BUT YOU KNOW IN THE SPRING OF THE YEAR THEN,DCA_se1_ag2_f_01,272.0625,274.2249,2.162399999999991,africa_american,0,43,3 22 21 28 26 16 22 28 12 15 16 24 28 10 15 28 21 9 6 28 20 17 19 10 15 8 28 16 7 28 21 9 6 28 26 6 2 19 28 21 9 6 15,High School,Lower Working Class,20 to 29,3,1,1
23,4716,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,WE USED TO SIT BACK AND,DCA_se2_ag1_m_05,1285.9657,1287.3357,1.3700000000001182,africa_american,0,23,24 6 28 22 20 6 5 28 21 16 28 20 10 21 28 3 2 4 12 28 2 15 5,High School,Upper Working Class,-19,3,5,0
25,974,coraal/DCA_audio_2018.10.06/DCA_se2_ag1_m_05_1.wav,EVERYBODY WANTED TO GET INTO THIS YOU KNOW,DCA_se2_ag1_m_05,1011.9154,1013.937,2.021600000000035,africa_american,0,42,6 23 6 19 26 3 16 5 26 28 24 2 15 21 6 5 28 21 16 28 8 6 21 28 10 15 21 16 28 21 9 10 20 28 26 16 22 28 12 15 16 24,High School,Upper Working Class,-19,3,5,0
